Games,Event,Team,Pos,Medal,As,athlete_id,NOC,Discipline,Nationality,Unnamed: 7
1908 Summer Olympics,"Singles, Men (Olympic)",,DNS,,Roper Barrett,76,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Men (Olympic)",Arthur Wentworth Gore,DNS,,Roper Barrett,76,GBR,Tennis,,
1908 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,DNS,,Roper Barrett,76,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Arthur Wentworth Gore,1,Gold,Roper Barrett,76,GBR,Tennis,,
1912 Summer Olympics,"Doubles, Covered Courts, Mixed (Olympic)",Helen Aitchison,2,Silver,Roper Barrett,76,GBR,Tennis,,
1912 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,=9,,Roper Barrett,76,GBR,Tennis,,
1912 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Arthur Wentworth Gore,4,,Roper Barrett,76,GBR,Tennis,,
1988 Summer Olympics,"Singles, Men (Olympic)",,=17,,Jeremy Bates,77,GBR,Tennis,,
1988 Summer Olympics,"Doubles, Men (Olympic)",Andrew Castle,=17,,Jeremy Bates,77,GBR,Tennis,,
1912 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,=16,,Alfred Beamish,78,GBR,Tennis,,
1912 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Charles Dixon,3,Bronze,Alfred Beamish,78,GBR,Tennis,,
1920 Summer Olympics,"Singles, Men (Olympic)",,=9,,Alfred Beamish,78,GBR,Tennis,,
1920 Summer Olympics,"Doubles, Mixed (Olympic)",Geraldine Beamish,=8,,Alfred Beamish,78,GBR,Tennis,,
1920 Summer Olympics,"Doubles, Men (Olympic)",Gordon Lowe,=17,,Alfred Beamish,78,GBR,Tennis,,
1896 Summer Olympics,"Singles, Men (Olympic)",,1.0,Gold,John Pius Boland,79,GBR,Tennis,,
1896 Summer Olympics,"Doubles, Men (Olympic)",Fritz Traun,1.0,Gold,John Pius Boland,79,GBR,Tennis,,
1996 Summer Olympics,"Doubles, Men (Olympic)",Tim Henman,2.0,Silver,Neil Broad,80,GBR,Tennis,,
1908 Summer Olympics,"Singles, Men (Olympic)",,=5,,George Caridia,81,GBR,Tennis,,
1908 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,2,Silver,George Caridia,81,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",George Simond,2,Silver,George Caridia,81,GBR,Tennis,,
1912 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,=5,,George Caridia,81,GBR,Tennis,,
1912 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Theodore Mavrogordato,=7,,George Caridia,81,GBR,Tennis,,
1988 Summer Olympics,"Singles, Men (Olympic)",,=17,,Andrew Castle,82,GBR,Tennis,,
1988 Summer Olympics,"Doubles, Men (Olympic)",Jeremy Bates,=17,,Andrew Castle,82,GBR,Tennis,,
1992 Summer Olympics,"Singles, Men (Olympic)",,=33,,Andrew Castle,82,GBR,Tennis,,
1992 Summer Olympics,"Doubles, Men (Olympic)",Chris Wilkinson,=17,,Andrew Castle,82,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Men (Olympic)",Charles Dixon,3.0,Bronze,Clement Cazalet,83,GBR,Tennis,,
1996 Summer Olympics,"Singles, Men (Olympic)",,=17,,Xinhua Chen,84,GBR,Table Tennis,,
1988 Summer Olympics,"Singles, Men (Olympic)",,=17,,Alan Cooke,85,GBR,Table Tennis,,
1988 Summer Olympics,"Doubles, Men (Olympic)",Carl Prean,=13,,Alan Cooke,85,GBR,Table Tennis,,
1992 Summer Olympics,"Doubles, Men (Olympic)",Carl Prean,=9,,Alan Cooke,85,GBR,Table Tennis,,
1908 Summer Olympics,"Singles, Men (Olympic)",,=9,,Walter Crawley,86,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Men (Olympic)",Kenneth Powell,=4,,Walter Crawley,86,GBR,Tennis,,
1908 Summer Olympics,"Singles, Men (Olympic)",,=5,,Charles Dixon,87,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Men (Olympic)",Clement Cazalet,3,Bronze,Charles Dixon,87,GBR,Tennis,,
1912 Summer Olympics,"Doubles, Covered Courts, Mixed (Olympic)",Edith Hannam,1,Gold,Charles Dixon,87,GBR,Tennis,,
1912 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,2,Silver,Charles Dixon,87,GBR,Tennis,,
1912 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Alfred Beamish,3,Bronze,Charles Dixon,87,GBR,Tennis,,
1900 Summer Olympics,"Singles, Men (Olympic)",,1,Gold,Laurie Doherty,88,GBR,Tennis,,
1900 Summer Olympics,"Doubles, Mixed (Olympic)",Marion Jones,=3,Bronze,Laurie Doherty,88,GBR,Tennis,,
1900 Summer Olympics,"Doubles, Men (Olympic)",Reggie Doherty,1,Gold,Laurie Doherty,88,GBR,Tennis,,
1900 Summer Olympics,"Doubles, Handicap, Mixed (Olympic (non-medal))",Marion Jones,=3,,Laurie Doherty,88,GBR,Tennis,,
1900 Summer Olympics,"Singles, Handicap, Men (Olympic (non-medal))",,=3,,Laurie Doherty,88,GBR,Tennis,,
1900 Summer Olympics,"Doubles, Handicap, Men (Olympic (non-medal))",Arthur Norris,=5,,Laurie Doherty,88,GBR,Tennis,,
1908 Summer Olympics,"Singles, Men (Olympic)",,DNS,,Laurie Doherty,88,GBR,Tennis,,
1900 Summer Olympics,"Singles, Men (Olympic)",,=3,Bronze,Reggie Doherty,89,GBR,Tennis,,
1900 Summer Olympics,"Doubles, Mixed (Olympic)",Charlotte Cooper,1,Gold,Reggie Doherty,89,GBR,Tennis,,
1900 Summer Olympics,"Doubles, Men (Olympic)",Laurie Doherty,1,Gold,Reggie Doherty,89,GBR,Tennis,,
1900 Summer Olympics,"Doubles, Handicap, Mixed (Olympic (non-medal))",Hedwig Rosenbaum,=9,,Reggie Doherty,89,GBR,Tennis,,
1900 Summer Olympics,"Singles, Handicap, Men (Olympic (non-medal))",,2,,Reggie Doherty,89,GBR,Tennis,,
1900 Summer Olympics,"Doubles, Handicap, Men (Olympic (non-medal))",André Prévost,=5,,Reggie Doherty,89,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Men (Olympic)",George Hillyard,1,Gold,Reggie Doherty,89,GBR,Tennis,,
1988 Summer Olympics,"Singles, Men (Olympic)",,=9,,Desmond Douglas,90,GBR,Table Tennis,,
1988 Summer Olympics,"Doubles, Men (Olympic)",Sky Andrew,=9,,Desmond Douglas,90,GBR,Table Tennis,,
1908 Summer Olympics,"Singles, Men (Olympic)",,3,Bronze,Wilberforce Eaves,91,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Men (Olympic)",George Ball-Greene,DNS,,Wilberforce Eaves,91,GBR,Tennis,,
1908 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,4,,Wilberforce Eaves,91,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",George Hillyard,5,,Wilberforce Eaves,91,GBR,Tennis,,
1908 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,7.0,,Lionel Escombe,92,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Josiah Ritchie,4.0,,Lionel Escombe,92,GBR,Tennis,,
1996 Summer Olympics,"Singles, Women (Olympic)",,=33,,Anne Gibson,93,GBR,Badminton,,
1924 Summer Olympics,"Singles, Men (Olympic)",,=9,,Brian Gilbert,94,GBR,Tennis,,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Kitty McKane,4,,Brian Gilbert,94,GBR,Tennis,,
1924 Summer Olympics,"Doubles, Mixed (Olympic)",Phyllis Covell,=5,,Leslie Godfree,95,GBR,Tennis,,
1924 Summer Olympics,"Doubles, Men (Olympic)",Max Woosnam,=29,,Leslie Godfree,95,GBR,Tennis,,
1992 Summer Olympics,"Doubles, Men (Olympic)",Chris Hunt,=9,,Andy Goode,96,GBR,Badminton,,
1908 Summer Olympics,"Singles, Men (Olympic)",,DNS,,Arthur Wentworth Gore,97,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Men (Olympic)",Roper Barrett,DNS,,Arthur Wentworth Gore,97,GBR,Tennis,,
1908 Summer Olympics,"Singles, Covered Courts, Men (Olympic)",,1,Gold,Arthur Wentworth Gore,97,GBR,Tennis,,
1908 Summer Olympics,"Doubles, Covered Courts, Men (Olympic)",Roper Barrett,1,Gold,Arthur Wentworth Gore,97,GBR,Tennis,,
