Roles,Sex,Full name,Used name,NOC,Athlete ID,Affiliations,Birth Date,Death Date,Height cm,Weight kg,Birth City,Birth Region,Birth Country
Competed in Olympic Games,Male,Konstantinos Akratopoulos,Kostas Akratopoulos,Greece,174,"Panellinios GS, Athina (GRE)",,,,,,,
Competed in Olympic Games   Competed in Olympic Games (non-medal events),Male,Anastasios Bavelas,Tasos Bavelas,Greece,175,,1968,,180.0,76.0,Athina (Athens),Attiki,GRE
Competed in Olympic Games,Male,Konstantinos Efremoglou,Konstantinos Efremoglou,Greece,176,,1962,,187.0,74.0,Athina (Athens),Attiki,GRE
Competed in Olympic Games,Male,Georgios Kalovelonis,Georgios Kalovelonis,Greece,177,,1959,,192.0,82.0,Athina (Athens),Attiki,GRE
Competed in Olympic Games   Competed in Intercalated Games,Male,Demetrius Emmanuel Casdagli,Demetrius Casdagli,Greece,178,"Alexandria Sporting Club, Al-Iskanderiya (EGY) / Ifitos Kairou, Al-Qahira (EGY)",1872,1931,,,Salford,England,GBR
Competed in Olympic Games,Male,Kallinikos Kreangka,Kallinikos Kreangka,Greece,179,"Finower TTC, GER / TTF Liebherr Ochsenhausen EV, GER / G.U. Hennebont, FRA / Metz SMEC, FRA",1972,,169.0,62.0,Bistrița,Bistrița-Năsăud,ROU
Competed in Olympic Games,Male,Pantelis Papadopoulos,Pantelis Papadopoulos,Greece,180,Lawn Tennis Athens,1902,1987,,,,,
Competed in Olympic Games,Male,Chios Paspatis,Konstantinos Paspatis,Greece,181,"Athens Lawn Tennis Club, Athina (GRE)",1878,1903,,,West Derby,"Liverpool, England",GBR
Competed in Olympic Games,Male,Dimitrios Stephen Petrokokkinos,Dimitrios Petrokokkinos,Greece,182,"Athens Lawn Tennis Club, Athina (GRE)",1878,1942,,,Ilford,England,GBR
Competed in Olympic Games   Non-starter,Male,D. Frangopoulos,D. Frangopoulos,Greece,183,Panakhaikos Syllogos Patron,,,,,,,
Competed in Olympic Games,Male,Evangelos Rallis,Evangelos Rallis,Greece,184,"Athens Lawn Tennis Club, Athina (GRE)",,,,,,,
Competed in Olympic Games,Male,Daniel Tsiokas,Daniel Tsiokas,Greece,185,"Sport Athlétique Gazinet-Cestas Tennis de Table, FRA",1971,,180.0,68.0,Cluj-Napoca,Cluj,ROU
Competed in Olympic Games,Male,Avgoustos Zerlentis,Avgoustos Zerlentis,Greece,186,"Athens Lawn Tennis Club, Athina (GRE)",1886,1954,,,Al-Iskanderiya (Alexandria),Al-Iskanderiya,EGY
Competed in Olympic Games,Male,Kenneth Erichsen,Kenneth Erichsen,Guatemala,187,,1972,,179.0,72.0,,,
Competed in Olympic Games   Competed in Olympic Games (non-medal events)   Other,Male,Ronald Jean-Martin Agénor,Ronald Agénor,Haiti,188,,1964,,180.0,79.0,Rabat,Rabat-Salé-Kénitra,MAR
Competed in Olympic Games,Female,Oi Ni Chan,Emmy Chan,"Hong Kong, China",189,,1966,,,,,,
Competed in Olympic Games,Female,Chan Suk Yuen,Chan Suk Yuen,"Hong Kong, China",190,,1969,,,,,,
Competed in Olympic Games,Female,Chan Tan Lui,Chan Tan Lui,"Hong Kong, China",191,,1969,,,,,,
Competed in Olympic Games,Female,Chai Po Wa,Chai Po Wa,"Hong Kong, China",192,,1966,,,,,,
Competed in Olympic Games,Female,Hui So Hung,Hui So Hung,"Hong Kong, China",193,,1958,,160.0,57.0,,,
Competed in Olympic Games,Female,Mok Ka Sha,Mok Ka Sha,"Hong Kong, China",194,,1962,,163.0,55.0,?,Guangdong,CHN
Competed in Olympic Games,Female,Wong Chun Fan,Wong Chun Fan,"Hong Kong, China",195,,1969,,,,,,
Competed in Olympic Games,Male,Chan Kin Ngai,Chan Kin Ngai,"Hong Kong, China",196,,1968,,170.0,58.0,?,Fujian,CHN
Competed in Olympic Games,Male,Chan Siu Kwong,Chan Siu Kwong,"Hong Kong, China",197,,1966,,185.0,79.0,,,
Competed in Olympic Games,Male,Chan Chi Ming,Chan Chi Ming,"Hong Kong, China",198,,1964,,163.0,59.0,,,
Competed in Olympic Games,Male,Chan Kong Wah,Chan Kong Wah,"Hong Kong, China",199,,1961,,,,?,Guangdong,CHN
Competed in Olympic Games,Male,Yi Ming He,Tim He,"Hong Kong, China",200,,1962,,176.0,62.0,,,
Competed in Olympic Games   Other,Male,Liu Fuk Man,Liu Fuk Man,"Hong Kong, China",201,,1952,,176.0,75.0,,,
Competed in Olympic Games,Male,Lo Chuen Tsung,Lo Chuen Tsung,"Hong Kong, China",202,,1963,,170.0,60.0,,,
Competed in Olympic Games,Male,Ng Pak Kum,Ng Pak Kum,"Hong Kong, China",203,,1968,,176.0,63.0,,,
Competed in Olympic Games,Male,Vong Lu Veng,Vong Lu Veng,"Hong Kong, China",204,,1950,,170.0,60.0,,,
Competed in Olympic Games,Male,Wong Wai Lap,Wong Wai Lap,"Hong Kong, China",205,,1969,,179.0,67.0,,,
Competed in Olympic Games,Female,Csilla Bátorfi,Csilla Bátorfi,Hungary,206,"BSE, Budapest (HUN) / TTC Langweid, Langweid am Lech (GER)",1969,,165.0,69.0,Szombathely,Vas,HUN
Competed in Olympic Games,Female,Virág Csurgó (-Tamas),Virág Csurgó,Hungary,207,"Budapesti Spartacus SC, Budapest (HUN)",1972,,172.0,63.0,Siófok,Somogy,HUN
Competed in Olympic Games,Female,Andrea Dakó,Andrea Dakó,Hungary,208,Haladás Zrínyi Sportegyesület,1972,,165.0,60.0,Budapest,Budapest,HUN
Competed in Olympic Games,Female,Csilla Fórián,Csilla Fórián,Hungary,209,Debreceni Kinizsi,1969,,166.0,53.0,Debrecen,Hajdú-Bihar,HUN
Competed in Olympic Games,Female,Andrea Harsági,Andrea Harsági,Hungary,210,"Nyíregyházi Vasutas SC, Nyíregyháza (HUN)",1971,,171.0,56.0,Nyíregyháza,Szabolcs-Szatmár-Bereg,HUN
Competed in Olympic Games,Female,Ilona (Ili) Julianna Mária Váradi (-Pétery),Ilona Váradi,Hungary,211,"MAC, Budapest (HUN)",1891,1945,,,Budapest,Budapest,HUN
Competed in Olympic Games,Female,"Andrea Temesvári (-Trunkos, -Visontai)",Andrea Temesvári,Hungary,212,"Vasas, Budapest (HUN)",1966,,180.0,64.0,Budapest,Budapest,HUN
Competed in Olympic Games,Female,Krisztina Tóth,Krisztina Tóth,Hungary,213,"Statisztika-Metalloglobus / Turnverein Busenbach, GER / FPV Kroppach, GER",1974,,164.0,62.0,Miskolc,Borsod-Abaúj-Zemplén,HUN
Competed in Olympic Games,Female,Edit Urbán,Edit Urbán,Hungary,214,"BSE, Budapest (HUN)",1961,,163.0,65.0,Budapest,Budapest,HUN
Competed in Olympic Games,Male,Zoltán Bátorfi,Zoltán Bátorfi,Hungary,215,"Postás SE, Budapest (HUN)",1975,,188.0,79.0,Szombathely,Vas,HUN
Competed in Olympic Games,Male,Lajos Göncz,Lajos Göncz,Hungary,216,"MAC, Budapest (HUN)",1887,1974,,,Kőszeg,Vas,HUN
Competed in Olympic Games,Male,Zsolt Harczi,Zsolt Harczi,Hungary,217,Ceglédi Vasutas Sportegyesület,1967,,180.0,72.0,Cegléd,Pest,HUN
Competed in Olympic Games,Male,Kálmán Bódog Kirchmayer,Kálmán Kirchmayer,Hungary,218,"MAC, Budapest (HUN)",1897,1990,,,Rzeszów,Podkarpackie,POL
Competed in Olympic Games,Male,Tibor Klampár,Tibor Klampár,Hungary,219,USC Wolkersdorf,1953,,180.0,75.0,Budapest,Budapest,HUN
Competed in Olympic Games,Male,Zsolt Kriston,Zsolt Kriston,Hungary,220,"Budapesti Spartacus SC, Budapest (HUN)",1961,,185.0,76.0,Miskolc,Borsod-Abaúj-Zemplén,HUN
Competed in Olympic Games,Male,Gábor Köves,Gábor Köves,Hungary,221,Budapesti Spartacus Sport Club/Hunguest/Malév LRI,1970,,187.0,87.0,Budapest,Budapest,HUN
Competed in Olympic Games   Referee,Male,Dezső Márton Lauber,Dezső Lauber,Hungary,222,Magyar Atlétikai Klub/Edison KE,1879,1966,,,Pécs,Baranya,HUN
Competed in Olympic Games   Non-starter,Male,László Markovits de Spizza et Kisterpest,László Markovits,Hungary,223,Budapesti Spartacus Sport Club/Hunguest,1970,,180.0,80.0,Ciudad de México (Mexico City),Ciudad de México,MEX
Competed in Olympic Games,Male,Károly Németh,Károly Németh,Hungary,224,"Postás SE, Budapest (HUN)",1970,,167.0,67.0,Budapest,Budapest,HUN
Competed in Olympic Games,Male,Sándor Noszály,Sándor Noszály,Hungary,225,Budapesti Sportegyesület/LRI-Malev,1972,,192.0,90.0,Budapest,Budapest,HUN
Competed in Olympic Games   Non-starter,Male,Momcsilló Tapavicza,Momcsilló Tapavicza,Hungary,226,"NTE, Budapest (HUN)",1872,1949,,,Nadalj,Južna Bačka,SRB
Competed in Olympic Games   Non-starter,Male,Ede Tóth,Ede Tóth,Hungary,227,"Budapesti Lawn-Tennis Club, Budapest (HUN)",1884,1943,,,Oradea,Bihor,ROU
Competed in Olympic Games,Male,Leó László Baráth (Freund-),Leó Baráth,Hungary,228,"MAC, Budapest (HUN)",1891,,,,Budapest,Budapest,HUN
Competed in Olympic Games,Male,Aurél Albert Kelemen,Aurél Kelemen,Hungary,229,"MAC, Budapest (HUN)",1888,1968,,,Budapest,Budapest,HUN
Competed in Olympic Games,Male,Tóbiás Pál Béla Kehrling,Béla Kehrling,Hungary,230,"BKE, Budapest (HUN) / MAC, Budapest (HUN)",1891,1937,,,Spišská Sobota,Prešov,SVK
Competed in Olympic Games,Male,Jenő Vilmos Zsigmondy,Jenő Zsigmondy,Hungary,231,"Budapesti Lawn-Tennis Club, Budapest (HUN)",1888,1930,,,Budapest,Budapest,HUN
Competed in Olympic Games,Female,Aida Steshenko,Aida Steshenko,Turkmenistan,232,,1968,,168.0,58.0,,,
Competed in Olympic Games,Female,Nani Rahayu Basuki-Suharyadi,Yayuk Basuki,Indonesia,233,,1970,,165.0,55.0,Yogyakarta,Daerah Istimewa Yogyakarta,INA
Competed in Olympic Games,Female,Rossy Pratiwi Dipoyanti,Rossy Pratiwi Dipoyanti,Indonesia,234,,1972,,,,Bandung,Jawa Barat,INA
Competed in Olympic Games,Female,Aadjijatmiko Christina Finarsih,Finarsih,Indonesia,235,,1972,,,,Sleman,Jawa Tengah,INA
Competed in Olympic Games,Female,Ling Ling Agustin Minangmojo,Ling Ling Agustin,Indonesia,236,,1969,,,,Kediri,Jawa Timur,INA
Competed in Olympic Games,Male,Anton Liederer,Anton Liederer,Austria,237,,1956,,174.0,67.0,,,
Competed in Olympic Games,Female,Riseu Rosalina,Riseu Rosalina,Indonesia,238,"PB Kotab, (INA)",1972,,,,,,
Competed in Olympic Games,Female,Zelin Resiana,Zelin Resiana,Indonesia,239,,1972,,169.0,58.0,Magelang,Jawa Tengah,INA
Competed in Olympic Games,Female,Efi Yuliani Santoso,Yuliani Santoso,Indonesia,240,,1971,,,,Semarang,Jawa Tengah,INA
Competed in Olympic Games,Female,Sarwendah Kusumawardhani Sukiran,Sarwendah Kusumawardhani,Indonesia,241,,1967,,,,Malang,Jawa Timur,INA
Competed in Olympic Games,Female,Erma S. Sulistianingsih,Erma Sulistianingsih,Indonesia,242,,1965,,,,,,
Competed in Olympic Games,Female,Lucia Francisca Susanti Haditono,Susy Susanti,Indonesia,243,"Jaya Raya, Jakarta (INA)",1971,,161.0,,Tasikmalaya,Jawa Barat,INA
Competed in Olympic Games,Female,Lili Tampi,Lili Tampi,Indonesia,244,,1970,,161.0,,Tasikmalaya,Jawa Barat,INA
Competed in Olympic Games,Female,Romana Tedjakusuma,Romana Tedjakusuma,Indonesia,245,,1976,,,,Surabaya,Jawa Timur,INA
Competed in Olympic Games,Female,Rosiana Tendean,Rosiana Tendean,Indonesia,246,,1964,,,,Makassar,Sulawesi Selatan,INA
Competed in Olympic Games,Female,Minarti Timur,Minarti Timur,Indonesia,247,"PB Djarum, Kudus (INA)",1968,,163.0,55.0,Surabaya,Jawa Timur,INA
Competed in Olympic Games,Female,Mia Audina Tjiptawan-Lobman,Mia Audina,Indonesia Netherlands,248,Conservatrix Velo,1979,,163.0,67.0,Jakarta,Daerah Khusus Ibukota Jakarta,INA
Competed in Olympic Games,Female,Suzanna Wibowo (Anggarkusuma-),Suzanna Wibowo,Indonesia,249,,1963,,,,Jakarta,Daerah Khusus Ibukota Jakarta,INA
Competed in Olympic Games,Male,Antonius Budi Ariantho,Antonius Ariantho,Indonesia,250,"PB Djarum, Kudus (INA)",1971,,170.0,66.0,Pekalongan,Jawa Tengah,INA
Competed in Olympic Games,Male,Rudy Gunawan,Rudy Gunawan,Indonesia,251,,1966,,185.0,83.0,Solo,Jawa Tengah,INA
Competed in Olympic Games,Male,Eddy Hartono Arbie,Eddy Hartono,Indonesia,252,"PB Djarum, Kudus (INA)",1964,,173.0,73.0,Kudus,Jawa Tengah,INA
Competed in Olympic Games,Male,Michael Ludwig Hariyanto Arbi,Hariyanto Arbi,Indonesia,253,"PB Djarum, Kudus (INA)",1972,,178.0,70.0,Kudus,Jawa Tengah,INA
Competed in Olympic Games,Male,Tri Kusharyanto,Tri Kusharyanto,Indonesia,254,"PB Suryanaga, Surabaya (INA)",1974,,167.0,60.0,Yogyakarta,Daerah Istimewa Yogyakarta,INA
Competed in Olympic Games,Male,Alexander Alan Budikusuma Wiratama,Alan Budikusuma,Indonesia,255,"PB Djarum, Kudus (INA)",1968,,178.0,71.0,Surabaya,Jawa Timur,INA
Competed in Olympic Games,Male,Denny Kwan Kantono,Denny Kantono,Indonesia,256,"PB Djarum, Kudus (INA)",1970,,182.0,,Samarinda,Kalimantan Timur,INA
Competed in Olympic Games,Male,Flandy Limpele,Flandy Limpele,Indonesia,257,"PB Djarum, Kudus (INA) / SGS Bandung, Bandung (INA)",1974,,181.0,73.0,Manado,Sulawesi Utara,INA
Competed in Olympic Games   Other,Male,Rexy Ronald Mainaky,Rexy Mainaky,Indonesia,258,,1968,,170.0,65.0,Ternate,Maluku Utara,INA
Competed in Olympic Games   Other,Male,Tonny Zwingly Maringgi,Tonny Maringgi,Indonesia,259,,1959,2019,167.0,65.0,Kendari,Sulawesi Tenggara,INA
Competed in Olympic Games,Male,Ricky Achmad Subagja,Ricky Subagja,Indonesia,260,,1971,,172.0,62.0,Bandung,Jawa Barat,INA
Competed in Olympic Games   Competed in Olympic Games (non-medal events),Male,Suharyadi,Suharyadi,Indonesia,261,,1965,,170.0,60.0,Blora,Jawa Tengah,INA
Competed in Olympic Games,Male,Bambang Suprianto,Bambang Suprianto,Indonesia,262,"PB Djarum, Kudus (INA)",1969,,173.0,69.0,Solo,Jawa Tengah,INA
Competed in Olympic Games,Male,Joko Suprianto,Joko Suprianto,Indonesia,263,,1966,,173.0,68.0,Solo,Jawa Tengah,INA
Competed in Olympic Games,Male,Hermawan Susanto,Hermawan Susanto,Indonesia,264,,1967,,170.0,62.0,Kudus,Jawa Tengah,INA
Competed in Olympic Games,Male,Anton Suseno,Anton Suseno,Indonesia,265,,1971,,178.0,70.0,Indramayu,Jawa Barat,INA
Competed in Olympic Games,Male,Donald Wailan Walalangi,Donald Wailan Walalangi,Indonesia,266,,1960,,174.0,67.0,Jakarta,Daerah Khusus Ibukota Jakarta,INA
Competed in Olympic Games,Male,Benny Wijaya,Benny Wijaya,Indonesia,267,,1973,,180.0,70.0,Kebumen,Jawa Tengah,INA
Competed in Olympic Games,Male,Ardy Bernardus Wiranata,Ardy Wiranata,Indonesia,268,"PB Djarum, Kudus (INA)",1970,,171.0,67.0,Jakarta,Daerah Khusus Ibukota Jakarta,INA
Competed in Olympic Games,Male,Bonit Wiryawan Sugiharto,Bonit Wiryawan,Indonesia,269,,1968,,172.0,61.0,Surabaya,Jawa Timur,INA
Competed in Olympic Games,Female,Madhumita Bisht (Goswami-),Madhumita Bisht,India,270,,1964,,,,,,
Competed in Olympic Games,Female,Nora Margaret Polley (Fischer-),Nora Polley,India,271,,1894,1988,,,Budaun,Uttar Pradesh,IND
Competed in Olympic Games,Female,Ambika Radhika,Ambika Radhika,India,272,,1973,,,,,,
Competed in Olympic Games,Female,Niyati Roy-Shah,Niyati Roy-Shah,India,273,,1965,,,,,,
Competed in Olympic Games,Male,Sayed Zeeshan Ali,Zeeshan Ali,India,274,,1970,,180.0,64.0,Kolkata (Calcutta),West Bengal,IND
Competed in Olympic Games,Male,Anand Amritraj,Anand Amritraj,India,275,,1952,,185.0,77.0,Chennai (Madras),Tamil Nadu,IND
Competed in Olympic Games,Male,Vijay Amritraj,Vijay Amritraj,India,276,,1953,,193.0,75.0,Chennai (Madras),Tamil Nadu,IND
Competed in Olympic Games,Male,Chetan Panduranga Baboor,Chetan Baboor,India,277,,1974,,188.0,70.0,,,
Competed in Olympic Games,Male,Deepankar Bhattacharya,Deepankar Bhattacharya,India,278,,1972,,178.0,68.0,,,
Competed in Olympic Games,Male,Mahesh Shrinivas Bhupathi,Mahesh Bhupathi,India,279,,1974,,185.0,88.0,Chennai (Madras),Tamil Nadu,IND
Competed in Olympic Games,Male,Ali Athar Hassan Ally Fyzee,Ali Athar Fyzee,India,280,,1883,1963,,,Mumbai,Maharashtra,IND
Competed in Olympic Games,Male,Sujay Jashiwant Ghorpade,Sujay Ghorpade,India,281,,1965,,,,,,
Competed in Olympic Games,Male,Syed Mohammad Hadi,S. M. Hadi,India,282,,1899,1971,,,Hyderabad,Andhra Pradesh,IND
Competed in Olympic Games,Male,Sydney Montague Jacob,Sydney Jacob,India,283,,1879,1977,,,Kasauli,Himachal Pradesh,IND
Competed in Olympic Games,Male,Ramesh Krishnan,Ramesh Krishnan,India,284,,1961,,170.0,63.0,Chennai (Madras),Tamil Nadu,IND
Competed in Olympic Games,Male,Vimal Kumar,Vimal Kumar,India,285,,1962,,184.0,78.0,,,
Competed in Olympic Games,Male,Kamlesh Navinchandra Mehta,Kamlesh Mehta,India,286,,1960,,,,Mumbai,Maharashtra,IND
Competed in Olympic Games   Other,Male,Leander Adrian Paes,Leander Paes,India,287,,1973,,178.0,77.0,Kolkata (Calcutta),West Bengal,IND
Competed in Olympic Games,Male,Donald Ross Rutnam,Donald Rutnam,India,288,,1902,1968,,,Colombo,Basnahira,SRI
Competed in Olympic Games,Male,Mohammed Sleem,Mohammed Sleem,India,289,,1892,,,,Multan,Punjab,PAK
Competed in Olympic Games,Male,Ángel Bello,Ángel Bello,Argentina,290,"Tiro Federal de Lomas de Zamora, Lomas de Zamora (ARG)",1951,2013,,65.0,Vigo,Pontevedra,ESP
Competed in Olympic Games,Male,Claudio A. Pafundi,Claudio Pafundi,Argentina,291,"Tiro Federal General José de San Martín, San Martín (ARG)",1962,,,76.0,,,
Competed in Olympic Games,Female,Maureen Adams,Maureen Adams,Australia,292,"South Queensland Archery Society, (AUS)",1937,2017,169.0,68.0,,,
Competed in Olympic Games,Female,Deonne Ellen Bridger,Deonne Bridger,Australia,293,"Kalamunda Governer Stirling Archery Club, Perth",1972,,168.0,62.0,Perth,Western Australia,AUS
Competed in Olympic Games,Female,Terene Eva Donovan,Terry Donovan,Australia,294,"Toowoomba Company of Archers, Toowoomba (AUS) / South Queensland Archery Society, (AUS)",1944,,157.0,53.0,,,
Competed in Olympic Games,Female,Myfanwy Ann Matthews,Myfanwy Matthews,Australia,295,"Canberra Archery Club, Canberra (AUS)",1975,,174.0,60.0,Dubbo,New South Wales,AUS
Competed in Olympic Games,Female,Carole Mary Toy,Carole Toy,Australia,296,,1948,,164.0,61.0,,,
Competed in Olympic Games,Male,David John Anear,David Anear,Australia,297,,1948,,175.0,80.0,Lowestoft,England,GBR
Competed in Olympic Games,Male,Christopher John Blake,Christopher Blake,Australia,298,"?, Queensland, (AUS)",1953,,180.0,81.0,,,
Competed in Olympic Games,Male,Scott Dumbrell,Scott Dumbrell,Australia,299,,1961,,182.0,66.0,,,
Competed in Olympic Games,Male,Simon John Fairweather,Simon Fairweather,Australia,300,"Canberra Archery Club, Canberra (AUS)",1969,,175.0,71.0,Adelaide,South Australia,AUS
