Roles,Sex,Full name,Used name,Born,Died,NOC,athlete_id,Measurements,Affiliations,Nick/petnames,Title(s),Other names,Nationality,Original name,Name order
Competed in Olympic Games,Female,Elke•Schall-Wosik (-Süß),Elke•Schall-Wosik,"19 July 1973 in Speyer, Rheinland-Pfalz (GER)",,Germany,132,180 cm / 68 kg,TSG Dülmen / Bayer Uerdingen / SV Winterwerb / TV Busenbach,,,,,,
Competed in Olympic Games,Female,Katrin•Schmidt,Katrin•Schmidt,"28 September 1967 in Langenhagen, Niedersachsen (GER)",,Germany,133,180 cm / 80 kg,"TuS Wiebelskirchen, Neunkirchen (GER)",,,,,,
Competed in Olympic Games,Female,Jie•Schöpp (Shi-),Jie•Schöpp,"25 January 1968 in Baoding, Hebei (CHN)",,Germany,134,174 cm / 63 kg,"Budapest, HUN",,,施婕,,,
Competed in Olympic Games,Female,Karen•Stechmann (-Neumann),Karen•Stechmann,"15 September 1971 in Stade, Niedersachsen (GER)",,Germany,135,169 cm / 59 kg,"FC Langenfeld, Langenfeld (GER)",,,,,,
Competed in Olympic Games,Female,Nicole Sandra•Struse,Nicole•Struse,"31 May 1971 in Haan, Nordrhein-Westfalen (GER)",,Germany,136,170 cm / 62 kg,"Spvg Steinhagen, Steinhagen (GER) / TSG Dülmen, Dülmen (GER) / FSV Kroppach, Kroppach (GER)",,,,,,
Competed in Olympic Games,Female,Kerstin•Ubben,Kerstin•Ubben,"4 September 1968 in Hamburg, Hamburg (GER)",,Germany,137,165 cm / 59 kg,"FC Langenfeld, Langenfeld (GER)",,,,,,
Competed in Olympic Games,Male,Boris Franz•Becker,Boris•Becker,"22 November 1967 in Leimen, Baden-Württemberg (GER)",,Germany,138,192 cm / 85 kg,"TK Grün-Weiß Mannheim, Mannheim (GER)",Boom Boom / Baron Von Slam,,,,,
Competed in Olympic Games,Male,Zsolt-Georg•Böhm,Georg•Böhm,"17 April 1962 in Sălacea, Bihor (ROU)",,West Germany,139,174 cm / 73 kg,"TTC Grenzau, Höhr-Grenzhausen (GER)",,,,,,
Competed in Olympic Games,Male,Steffen•Fetzner,Steffen•Fetzner,"17 August 1968 in Karlsruhe, Baden-Württemberg (GER)",,Germany West Germany,140,170 cm / 60 kg,"Borussia Düsseldorf, Düsseldorf (GER)",,,,,,
Competed in Olympic Games,Male,Peter•Franz,Peter•Franz,"25 April 1971 in Stolzenau, Niedersachsen (GER)",,Germany,141,186 cm / 74 kg,"TTF Ochsenhausen, Ochsenhausen (GER)",,,,,,
Competed in Olympic Games,Male,Stefan•Frey,Stefan•Frey,"16 May 1959 in Worms, Rheinland-Pfalz (GER)",,Germany,142,178 cm / 82 kg,"TV Mainz-Zahlbach, Mainz (GER)",,,,,,
Competed in Olympic Games • Non-starter,Male,Otto•Froitzheim,Otto•Froitzheim,"24 April 1884 in Strasbourg, Bas-Rhin (FRA)","27 October 1962 in Wiesbaden, Hessen (GER)",Germany,143,,"Rot-Weiß Berlin, Berlin (GER)",,,,,,
Competed in Olympic Games,Male,Marc-Kevin•Goellner,Marc-Kevin•Goellner,"22 September 1970 in Rio de Janeiro, Rio de Janeiro (BRA)",,Germany,144,196 cm / 85 kg,"Blau-Weiß Neuss, Neuss (GER)",,,,,,
Competed in Olympic Games,Male,"Hugo James•Hardy, Jr.",Hugo•Hardy,"11 August 1877 in Harvestehude, Hamburg (GER)","8 October 1936 in Guben, Brandenburg (GER)",Germany,145,,"Anglo-American Club, Berlin (GER)",,,,,,
Competed in Olympic Games,Male,Michael•Helber,Michael•Helber,"4 October 1970 in Bochum, Nordrhein-Westfalen (GER)",,Germany,146,185 cm / 72 kg,"PSV Grün-Weiß Wiesbaden, Wiesbaden (GER)",,,,,,
Competed in Olympic Games,Male,Luis Maria•Heyden,Luis Maria•Heyden,"27 November 1893 in Eimsbüttel, Hamburg (GER)","9 December 1951 in Wingdale, New York (USA)",Germany,147,,"Harvestehuder THC, Hamburg (GER)",,,,,,
Competed in Olympic Games,Male,Eric•Jelen,Eric•Jelen,"11 March 1965 in Trier, Rheinland-Pfalz (GER)",,West Germany,148,184 cm / 77 kg,Blau-Weiß Neuss,,,,,,
Competed in Olympic Games,Male,Michael•Keck,Michael•Keck,"8 February 1969 in Fürth, Bayern (GER)",,Germany,149,186 cm / 78 kg,"1. BC Bischmisheim, Saarbrücken (GER)",,,,,,
Competed in Olympic Games,Male,Ernst Oskar•Kreuzer,Oskar•Kreuzer,"14 June 1887 in Frankfurt am Main, Hessen (GER)","1 May 1968 in Wiesbaden, Hessen (GER)",Germany,150,,"SC Frankfurt 1880, Frankfurt am Main (GER)",,,,,,
Competed in Olympic Games,Male,Stephan•Kuhl,Stephan•Kuhl,"27 March 1968 in Köln (Cologne), Nordrhein-Westfalen (GER)",,Germany,151,180 cm / 79 kg,"BSC Eintracht Südring, Berlin (GER)",,,,,,
Competed in Olympic Games,Male,Paul Anton Maria•Lindpaintner d'Almeida,Paul•Lindpaintner,"22 May 1883 in München (Munich), Bayern (GER)","23 April 1969 in Bad Wiessee, Bayern (GER)",Germany,152,,"Rot-Weiß Berlin, Berlin (GER)",,,,,,
Competed in Olympic Games,Male,Oliver•Pongratz,Oliver•Pongratz,"14 April 1973 in Mindelheim, Bayern (GER)",,Germany,153,182 cm / 71 kg,"FC Langenfeld, Langenfeld (GER)",,,,,,
Competed in Olympic Games,Male,David•Prinosil,David•Prinosil,"9 March 1973 in Olomouc, Olomoucký kraj (CZE)",,Germany,154,184 cm / 79 kg,"TC Amberg am Schanzl, Amberg (GER)",,,,,,
Competed in Olympic Games,Male,Friedrich-Wilhelm•Rahe,Friedrich-Wilhelm•Rahe,"16 April 1888 in Rostock, Mecklenburg-Vorpommern (GER)","18 February 1949 in Rostock, Mecklenburg-Vorpommern (GER)",Germany,155,,"Rostocker LTC, Rostock (GER)",Fieten,,,,,
Competed in Olympic Games,Male,Jürgen•Rebel,Jürgen•Rebel,"17 July 1963 in Darmstadt, Hessen (GER)",,West Germany,156,174 cm / 78 kg,"ATSV Saarbrücken, Saarbrücken (GER)",,,,,,
Competed in Olympic Games,Male,Jörg•Roßkopf,Jörg•Roßkopf,"22 May 1969 in Dieburg, Hessen (GER)",,Germany West Germany,157,182 cm / 72 kg,"Borussia Düsseldorf, Düsseldorf (GER) / TTV Gönnern, Angelburg (GER)",,,,,,
Competed in Olympic Games,Male,Heinrich Georg•Schomburgk,Heinrich•Schomburgk,"23 June 1885 in Connewitz, Leipzig, Sachsen (GER)","26 March 1965 in Eppstein, Hessen (GER)",Germany,158,,"Leipziger SC, Leipzig (GER)",,,,,,
Competed in Olympic Games,Male,Robert Cleon•Spies,Robert•Spies,"17 February 1891 in Moskva (Moscow), Moskva (RUS)","22 October 1982 in Bremen, Bremen (GER)",Germany,159,,"Akademischer SV Dresden, Bremer Tennisverein 1896",,,,,,
Competed in Olympic Games,Male,Carl-Uwe•Steeb,Carl-Uwe•Steeb,"1 September 1967 in Aalen, Baden-Württemberg (GER)",,Germany West Germany,160,180 cm / 74 kg,"TEC Waldau, Stuttgart (GER)",Charly,,,,,
Competed in Olympic Games,Male,Michael Detlef•Stich,Michael•Stich,"18 October 1968 in Pinneberg, Schleswig-Holstein (GER)",,Germany,161,192 cm / 79 kg,"MTTC Iphitos, München (GER)",,,,,,
Competed in Olympic Games,Male,"Friedrich Adolf ""Fritz""•Traun",Fritz•Traun,"29 March 1876 in Wandsbek, Hamburg (GER)","11 July 1908 in Wandsbek, Hamburg (GER)",Germany,162,,"Germania Hamburg, Hamburg (GER)",,,,,,
Competed in Olympic Games,Male,"Alexander Moritz Reinhold ""Fritz""•von Bissing",Fritz•von Bissing,"9 September 1886 in Metz, Moselle (FRA)","18 March 1954 in Frankfurt am Main, Hessen (GER)",Germany,163,,"SC Frankfurt 1880, Frankfurt am Main (GER)",,,,,,
Competed in Olympic Games,Male,Ernst Gebhard Georg Otto•von Müller,Otto•von Müller,"17 October 1875 in Jülich, Nordrhein-Westfalen (GER)","2 April 1976 in Fürstenfeldbruck, Bayern (GER)",Germany,164,,"Rot-Weiß Berlin, Berlin (GER)",,,,,,
Competed in Olympic Games,Female,Helen•Amankwah,Helen•Amankwah,13 April 1964,,Ghana,165,,,,,,,,
Competed in Olympic Games,Female,Patricia Akosua•Offel,Patricia•Offel,19 December 1971,,Ghana,166,120 kg,,,,,,,
Competed in Olympic Games,Female,Patience Abena•Opokua,Patience•Opokua,17 June 1969,,Ghana,167,,,,,,,,
Competed in Olympic Games,Male,Winifred•Addy,Winifred•Addy,17 March 1973,,Ghana,168,,,,,,,,
Competed in Olympic Games,Female,Christina•Papadaki,Christina•Papadaki,"24 February 1973 in Athina (Athens), Attiki (GRE)",,Greece,169,173 cm / 55 kg,"Athens Lawn Tennis Club, Athina (GRE)",,,,,Χριστίνα•Παπαδάκη,
Competed in Olympic Games,Female,Olga•Tsarmpopoulou,Olga•Tsarmpopoulou,19 June 1968,,Greece,170,170 cm / 58 kg,,,,"Olga Tsarmbopoulou, Olga Tsarbopoulou",,Ολγα•Τσαρμπόπουλος,
Competed in Olympic Games,Female,Lena•Valaoritou (-Skaramagna),Lena•Valaoritou,"1 March 1897 in Athina (Athens), Attiki (GRE)","1967 in Ioannina, Epeiros (GRE)",Greece,171,,,,,,,Λενα•Βαλαωρίτου-Σκαραμαγκά,
Competed in Olympic Games,Female,Christina•Zachariadou,Christina•Zachariadou,"28 August 1974 in Athina (Athens), Attiki (GRE)",,Greece,172,163 cm / 57 kg,"Athens Lawn Tennis Club, Athina (GRE)",,,Khristina Zakhariadou,,Χριστίνα•Ζαχαριάδου,
Competed in Olympic Games,Male,Aristidis•Akratopoulos,Aristidis•Akratopoulos,,,Greece,173,,"Panellinios GS, Athina (GRE)",,,,,Αριστίδης•Ακρατόπουλοσ,
Competed in Olympic Games,Male,"Konstantinos ""Kostas""•Akratopoulos",Kostas•Akratopoulos,,,Greece,174,,"Panellinios GS, Athina (GRE)",,,,,"Κωνσταντίνος ""Κωστας""•Ακρατόπουλοσ",
Competed in Olympic Games • Competed in Olympic Games (non-medal events),Male,"Anastasios ""Tasos""•Bavelas",Tasos•Bavelas,"27 February 1968 in Athina (Athens), Attiki (GRE)",,Greece,175,180 cm / 76 kg,,,,,,"Αναστάσιος ""Τάσος""•Μπαβελας",
Competed in Olympic Games,Male,Konstantinos•Efremoglou,Konstantinos•Efremoglou,"4 December 1962 in Athina (Athens), Attiki (GRE)",,Greece,176,187 cm / 74 kg,,,,,,Κωνσταντίνος•Εφρεμογλου,
Competed in Olympic Games,Male,Georgios•Kalovelonis,Georgios•Kalovelonis,"23 August 1959 in Athina (Athens), Attiki (GRE)",,Greece,177,192 cm / 82 kg,,,,,,Γεώργιος•Καλοβελωνης,
Competed in Olympic Games • Competed in Intercalated Games,Male,Demetrius Emmanuel•Casdagli,Demetrius•Casdagli,"10 October 1872 in Salford, England (GBR)","6 July 1931 in Bad Nauheim, Hessen (GER)",Greece,178,,"Alexandria Sporting Club, Al-Iskanderiya (EGY) / Ifitos Kairou, Al-Qahira (EGY)",Demis,,Dimitrios Emmanouil Kasdaglis,,Δημήτριος Εμμανουήλ•Κάσδαγλης,
Competed in Olympic Games,Male,Kallinikos•Kreangka,Kallinikos•Kreangka,"8 March 1972 in Bistrița, Bistrița-Năsăud (ROU)",,Greece,179,169 cm / 62 kg,"Finower TTC, GER / TTF Liebherr Ochsenhausen EV, GER / G.U. Hennebont, FRA / Metz SMEC, FRA",,,Călin Creangă,,Καλλίνικος•Κρεάνγκα,
Competed in Olympic Games,Male,Pantelis•Papadopoulos,Pantelis•Papadopoulos,1902,1987,Greece,180,,Lawn Tennis Athens,,,,,Παντελής•Παπαδόπουλος,
Competed in Olympic Games,Male,"Chios ""Konstantinos""•Paspatis",Konstantinos•Paspatis,"5 June 1878 in West Derby, Liverpool, England (GBR)","1 July 1903 in Athina (Athens), Attiki (GRE)",Greece,181,,"Athens Lawn Tennis Club, Athina (GRE)",,,Constantine George Paspatis,,"Χίος ""Κωνσταντίνος""•Πασπατις",
Competed in Olympic Games,Male,Dimitrios Stephen•Petrokokkinos,Dimitrios•Petrokokkinos,"17 April 1878 in Ilford, England (GBR)","10 May 1942 in Cape Town, Western Cape (RSA)",Greece,182,,"Athens Lawn Tennis Club, Athina (GRE)",,,Demetrius Petrocochino,,Δημήτριος•Πετροκόκκινος,
Competed in Olympic Games • Non-starter,Male,D.•Frangopoulos,D.•Frangopoulos,,,Greece,183,,Panakhaikos Syllogos Patron,,,,,Δ.•Φρανγόπουλοσ,
Competed in Olympic Games,Male,Evangelos•Rallis,Evangelos•Rallis,,,Greece,184,,"Athens Lawn Tennis Club, Athina (GRE)",,,,,Ευάγγελος•Ραλλις,
Competed in Olympic Games,Male,Daniel•Tsiokas,Daniel•Tsiokas,"19 June 1971 in Cluj-Napoca, Cluj (ROU)",,Greece,185,180 cm / 68 kg,"Sport Athlétique Gazinet-Cestas Tennis de Table, FRA",,,,,Ντανιελ•Τσιόκας,
Competed in Olympic Games,Male,Avgoustos•Zerlentis,Avgoustos•Zerlentis,"5 November 1886 in Al-Iskanderiya (Alexandria), Al-Iskanderiya (EGY)",1954,Greece,186,,"Athens Lawn Tennis Club, Athina (GRE)",,,Augustus Zerlendi,,Αύγουστος•Ζερλέντης,
Competed in Olympic Games,Male,Kenneth•Erichsen,Kenneth•Erichsen,28 December 1972,,Guatemala,187,179 cm / 72 kg,,,,,,,
Competed in Olympic Games • Competed in Olympic Games (non-medal events) • Other,Male,Ronald Jean-Martin•Agénor,Ronald•Agénor,"13 November 1964 in Rabat, Rabat-Salé-Kénitra (MAR)",,Haiti,188,180 cm / 79 kg,,,,,,,
Competed in Olympic Games,Female,"Oi Ni ""Emmy""•Chan",Emmy•Chan,15 May 1966,,"Hong Kong, China",189,,,,,,,愛彌•陳,
Competed in Olympic Games,Female,Chan•Suk Yuen,Chan•Suk Yuen,25 June 1969,,"Hong Kong, China",190,,,,,,,陳•淑媛,Oriental
Competed in Olympic Games,Female,Chan•Tan Lui,Chan•Tan Lui,12 January 1969,,"Hong Kong, China",191,,,,,,,陳•丹蕾,Oriental
Competed in Olympic Games,Female,Chai•Po Wa,Chai•Po Wa,12 April 1966,,"Hong Kong, China",192,,,,,Qi Baohua,,齊•寶華,Oriental
Competed in Olympic Games,Female,Hui•So Hung,Hui•So Hung,2 December 1958 in ? (INA),,"Hong Kong, China",193,160 cm / 57 kg,,,,,,許•素虹,Oriental
Competed in Olympic Games,Female,Mok•Ka Sha,Mok•Ka Sha,"23 October 1962 in ?, Guangdong (CHN)",,"Hong Kong, China",194,163 cm / 55 kg,,,,,,莫•卡莎,Oriental
Competed in Olympic Games,Female,Wong•Chun Fan,Wong•Chun Fan,23 September 1969,,"Hong Kong, China",195,,,,,,,王•進芬,Oriental
Competed in Olympic Games,Male,Chan•Kin Ngai,Chan•Kin Ngai,"18 November 1968 in ?, Fujian (CHN)",,"Hong Kong, China",196,170 cm / 58 kg,,,,,,陳•健倪,Oriental
Competed in Olympic Games,Male,Chan•Siu Kwong,Chan•Siu Kwong,30 May 1966,,"Hong Kong, China",197,185 cm / 79 kg,,Brian,,,,陳•兆光,Oriental
Competed in Olympic Games,Male,Chan•Chi Ming,Chan•Chi Ming,28 May 1964,,"Hong Kong, China",198,163 cm / 59 kg,,,,,,,Oriental
Competed in Olympic Games,Male,Chan•Kong Wah,Chan•Kong Wah,"31 August 1961 in ?, Guangdong (CHN)",,"Hong Kong, China",199,,,,,Chen Jianghua,,,Oriental
Competed in Olympic Games,Male,"Yi Ming ""Tim""•He",Tim•He,14 April 1962,,"Hong Kong, China",200,176 cm / 62 kg,,,,,,一鳴•何,
Competed in Olympic Games • Other,Male,Liu•Fuk Man,Liu•Fuk Man,11 October 1952,,"Hong Kong, China",201,176 cm / 75 kg,,,,,,,Oriental
Competed in Olympic Games,Male,Lo•Chuen Tsung,Lo•Chuen Tsung,8 October 1963,,"Hong Kong, China",202,170 cm / 60 kg,,,,,,盧•傳淞,Oriental
Competed in Olympic Games,Male,Ng•Pak Kum,Ng•Pak Kum,8 October 1968,,"Hong Kong, China",203,176 cm / 63 kg,,,,,,伍•伯儉,Oriental
Competed in Olympic Games,Male,Vong•Lu Veng,Vong•Lu Veng,12 March 1950,,"Hong Kong, China",204,170 cm / 60 kg,,,,,,,Oriental
Competed in Olympic Games,Male,Wong•Wai Lap,Wong•Wai Lap,16 July 1969,,"Hong Kong, China",205,179 cm / 67 kg,,,,,,黃•為立,Oriental
Competed in Olympic Games,Female,Csilla•Bátorfi,Csilla•Bátorfi,"3 March 1969 in Szombathely, Vas (HUN)",,Hungary,206,165 cm / 69 kg,"BSE, Budapest (HUN) / TTC Langweid, Langweid am Lech (GER)",,,,,,
Competed in Olympic Games,Female,Virág•Csurgó (-Tamas),Virág•Csurgó,"10 November 1972 in Siófok, Somogy (HUN)",,Hungary,207,172 cm / 63 kg,"Budapesti Spartacus SC, Budapest (HUN)",,,,,,
Competed in Olympic Games,Female,Andrea•Dakó,Andrea•Dakó,"12 August 1972 in Budapest, Budapest (HUN)",,Hungary,208,165 cm / 60 kg,Haladás Zrínyi Sportegyesület,,,,,,
Competed in Olympic Games,Female,Csilla•Fórián,Csilla•Fórián,"2 January 1969 in Debrecen, Hajdú-Bihar (HUN)",,Hungary,209,166 cm / 53 kg,Debreceni Kinizsi,,,,,,
Competed in Olympic Games,Female,Andrea•Harsági,Andrea•Harsági,"22 March 1971 in Nyíregyháza, Szabolcs-Szatmár-Bereg (HUN)",,Hungary,210,171 cm / 56 kg,"Nyíregyházi Vasutas SC, Nyíregyháza (HUN)",,,,,,
Competed in Olympic Games,Female,Ilona (Ili) Julianna Mária•Váradi (-Pétery),Ilona•Váradi,"4 August 1891 in Budapest, Budapest (HUN)","19 February 1945 in Budapest, Budapest (HUN)",Hungary,211,,"MAC, Budapest (HUN)",,,Ilona Várady,,,
Competed in Olympic Games,Female,"Andrea•Temesvári (-Trunkos, -Visontai)",Andrea•Temesvári,"26 April 1966 in Budapest, Budapest (HUN)",,Hungary,212,180 cm / 64 kg,"Vasas, Budapest (HUN)",,,,,,
Competed in Olympic Games,Female,Krisztina•Tóth,Krisztina•Tóth,"29 May 1974 in Miskolc, Borsod-Abaúj-Zemplén (HUN)",,Hungary,213,164 cm / 62 kg,"Statisztika-Metalloglobus / Turnverein Busenbach, GER / FPV Kroppach, GER",Totya,,,,,
Competed in Olympic Games,Female,Edit•Urbán,Edit•Urbán,"27 March 1961 in Budapest, Budapest (HUN)",,Hungary,214,163 cm / 65 kg,"BSE, Budapest (HUN)",,,,,,
Competed in Olympic Games,Male,Zoltán•Bátorfi,Zoltán•Bátorfi,"20 July 1975 in Szombathely, Vas (HUN)",,Hungary,215,188 cm / 79 kg,"Postás SE, Budapest (HUN)",,,,,,
Competed in Olympic Games,Male,Lajos•Göncz,Lajos•Göncz,"16 June 1887 in Kőszeg, Vas (HUN)","14 October 1974 in Budapest, Budapest (HUN)",Hungary,216,,"MAC, Budapest (HUN)",,,,,,
Competed in Olympic Games,Male,Zsolt•Harczi,Zsolt•Harczi,"17 February 1967 in Cegléd, Pest (HUN)",,Hungary,217,180 cm / 72 kg,Ceglédi Vasutas Sportegyesület,,,,,,
Competed in Olympic Games,Male,Kálmán Bódog•Kirchmayer,Kálmán•Kirchmayer,"15 November 1897 in Rzeszów, Podkarpackie (POL)","6 November 1990 in Budapest, Budapest (HUN)",Hungary,218,,"MAC, Budapest (HUN)",,,Kálmán Kirchmayr,,,
Competed in Olympic Games,Male,Tibor•Klampár,Tibor•Klampár,"30 April 1953 in Budapest, Budapest (HUN)",,Hungary,219,180 cm / 75 kg,USC Wolkersdorf,,,,,,
Competed in Olympic Games,Male,Zsolt•Kriston,Zsolt•Kriston,"12 February 1961 in Miskolc, Borsod-Abaúj-Zemplén (HUN)",,Hungary,220,185 cm / 76 kg,"Budapesti Spartacus SC, Budapest (HUN)",,,,,,
Competed in Olympic Games,Male,Gábor•Köves,Gábor•Köves,"7 January 1970 in Budapest, Budapest (HUN)",,Hungary,221,187 cm / 87 kg,Budapesti Spartacus Sport Club/Hunguest/Malév LRI,,,,,,
Competed in Olympic Games • Referee,Male,Dezső Márton•Lauber,Dezső•Lauber,"23 May 1879 in Pécs, Baranya (HUN)","5 September 1966 in Budapest, Budapest (HUN)",Hungary,222,,Magyar Atlétikai Klub/Edison KE,Decskó,,,,,
Competed in Olympic Games • Non-starter,Male,László•Markovits de Spizza et Kisterpest,László•Markovits,"4 April 1970 in Ciudad de México (Mexico City), Ciudad de México (MEX)",,Hungary,223,180 cm / 80 kg,Budapesti Spartacus Sport Club/Hunguest,,,,,,
Competed in Olympic Games,Male,Károly•Németh,Károly•Németh,"31 August 1970 in Budapest, Budapest (HUN)",,Hungary,224,167 cm / 67 kg,"Postás SE, Budapest (HUN)",,,,,,
Competed in Olympic Games,Male,Sándor•Noszály,Sándor•Noszály,"16 March 1972 in Budapest, Budapest (HUN)",,Hungary,225,192 cm / 90 kg,Budapesti Sportegyesület/LRI-Malev,,,,,,
Competed in Olympic Games • Non-starter,Male,Momcsilló•Tapavicza,Momcsilló•Tapavicza,"14 October 1872 in Nadalj, Južna Bačka (SRB)","10 January 1949 in Pula, Istarska županija (CRO)",Hungary,226,,"NTE, Budapest (HUN)",,,"Momčilo Tapavica, Момчило Тапавица",,,
Competed in Olympic Games • Non-starter,Male,Ede•Tóth,Ede•Tóth,"11 March 1884 in Oradea, Bihor (ROU)","1 March 1943 in Budapest, Budapest (HUN)",Hungary,227,,"Budapesti Lawn-Tennis Club, Budapest (HUN)",,,,,,
Competed in Olympic Games,Male,Leó László•Baráth (Freund-),Leó•Baráth,"9 June 1891 in Budapest, Budapest (HUN)",,Hungary,228,,"MAC, Budapest (HUN)",,,Leó von Baráth,,,
Competed in Olympic Games,Male,Aurél Albert•Kelemen,Aurél•Kelemen,"20 April 1888 in Budapest, Budapest (HUN)","10 November 1968 in Budapest, Budapest (HUN)",Hungary,229,,"MAC, Budapest (HUN)",,,Aurél von Kelemen,,,
Competed in Olympic Games,Male,Tóbiás Pál Béla •Kehrling,Béla•Kehrling,"25 January 1891 in Spišská Sobota, Prešov (SVK)","26 April 1937 in Budapest, Budapest (HUN)",Hungary,230,,"BKE, Budapest (HUN) / MAC, Budapest (HUN)",Puci,,Béla von Kehrling,,,
Competed in Olympic Games,Male,Jenő Vilmos•Zsigmondy,Jenő•Zsigmondy,"4 July 1888 in Budapest, Budapest (HUN)","30 July 1930 in Paris XVIe, Paris (FRA)",Hungary,231,,"Budapesti Lawn-Tennis Club, Budapest (HUN)",,,Jenő von Zsigmondy,,,
Competed in Olympic Games,Female,Aida•Steshenko,Aida•Steshenko,11 August 1968,,Turkmenistan,232,168 cm / 58 kg,,,,Aýida Steşenko,,,
Competed in Olympic Games,Female,"Nani Rahayu ""Yayuk""•Basuki-Suharyadi",Yayuk•Basuki,"30 November 1970 in Yogyakarta, Daerah Istimewa Yogyakarta (INA)",,Indonesia,233,165 cm / 55 kg,,,,,,,
Competed in Olympic Games,Female,Rossy•Pratiwi Dipoyanti,Rossy•Pratiwi Dipoyanti,"28 June 1972 in Bandung, Jawa Barat (INA)",,Indonesia,234,,,,,,,,
Competed in Olympic Games,Female,Aadjijatmiko Christina•Finarsih,•Finarsih,"8 February 1972 in Sleman, Jawa Tengah (INA)",,Indonesia,235,,,,,,,,
Competed in Olympic Games,Female,Ling Ling•Agustin Minangmojo,Ling Ling•Agustin,"23 August 1969 in Kediri, Jawa Timur (INA)",,Indonesia,236,,,,,,,,
Competed in Olympic Games,Male,Anton•Liederer,Anton•Liederer,20 May 1956,,Austria,237,174 cm / 67 kg,,,,,,,
Competed in Olympic Games,Female,Riseu•Rosalina,Riseu•Rosalina,19 September 1972,,Indonesia,238,,"PB Kotab, (INA)",,,,,,
Competed in Olympic Games,Female,Zelin•Resiana,Zelin•Resiana,"9 July 1972 in Magelang, Jawa Tengah (INA)",,Indonesia,239,169 cm / 58 kg,,,,,,,
Competed in Olympic Games,Female,Efi Yuliani•Santoso,Yuliani•Santoso,"29 October 1971 in Semarang, Jawa Tengah (INA)",,Indonesia,240,,,,,,,,
Competed in Olympic Games,Female,Sarwendah•Kusumawardhani Sukiran,Sarwendah•Kusumawardhani,"22 August 1967 in Malang, Jawa Timur (INA)",,Indonesia,241,,,,,,,,
Competed in Olympic Games,Female,Erma S.•Sulistianingsih,Erma•Sulistianingsih,5 November 1965,,Indonesia,242,,,,,,,,
Competed in Olympic Games,Female,"Lucia Francisca ""Susy""•Susanti Haditono",Susy•Susanti,"11 February 1971 in Tasikmalaya, Jawa Barat (INA)",,Indonesia,243,161 cm,"Jaya Raya, Jakarta (INA)",,,"Wang Lianxiang, 王蓮香",,,
Competed in Olympic Games,Female,Lili•Tampi,Lili•Tampi,"19 May 1970 in Tasikmalaya, Jawa Barat (INA)",,Indonesia,244,161 cm,,,,,,,
Competed in Olympic Games,Female,Romana•Tedjakusuma,Romana•Tedjakusuma,"24 July 1976 in Surabaya, Jawa Timur (INA)",,Indonesia,245,,,,,,,,
Competed in Olympic Games,Female,Rosiana•Tendean,Rosiana•Tendean,"25 August 1964 in Makassar, Sulawesi Selatan (INA)",,Indonesia,246,,,,,,,,
Competed in Olympic Games,Female,Minarti•Timur,Minarti•Timur,"24 March 1968 in Surabaya, Jawa Timur (INA)",,Indonesia,247,163 cm / 55 kg,"PB Djarum, Kudus (INA)",,,,,,
Competed in Olympic Games,Female,Mia Audina•Tjiptawan-Lobman,•Mia Audina,"22 August 1979 in Jakarta, Daerah Khusus Ibukota Jakarta (INA)",,Indonesia Netherlands,248,163 cm / 67 kg,Conservatrix Velo,Si Anak Ajaib,,,,,
Competed in Olympic Games,Female,Suzanna•Wibowo (Anggarkusuma-),Suzanna•Wibowo,"25 November 1963 in Jakarta, Daerah Khusus Ibukota Jakarta (INA)",,Indonesia,249,,,,,,,,
Competed in Olympic Games,Male,Antonius Budi•Ariantho,Antonius•Ariantho,"3 October 1971 in Pekalongan, Jawa Tengah (INA)",,Indonesia,250,170 cm / 66 kg,"PB Djarum, Kudus (INA)",,,,,,
Competed in Olympic Games,Male,Rudy•Gunawan,Rudy•Gunawan,"31 December 1966 in Solo, Jawa Tengah (INA)",,Indonesia,251,185 cm / 83 kg,,,,,,,
Competed in Olympic Games,Male,Eddy•Hartono Arbie,Eddy•Hartono,"19 July 1964 in Kudus, Jawa Tengah (INA)",,Indonesia,252,173 cm / 73 kg,"PB Djarum, Kudus (INA)",,,,,,
Competed in Olympic Games,Male,Michael Ludwig Hariyanto•Arbi,Hariyanto•Arbi,"21 January 1972 in Kudus, Jawa Tengah (INA)",,Indonesia,253,178 cm / 70 kg,"PB Djarum, Kudus (INA)",,,,,,
Competed in Olympic Games,Male,Tri•Kusharyanto,Tri•Kusharyanto,"18 January 1974 in Yogyakarta, Daerah Istimewa Yogyakarta (INA)",,Indonesia,254,167 cm / 60 kg,"PB Suryanaga, Surabaya (INA)",,,Tri Kushharyanto,,,
Competed in Olympic Games,Male,Alexander Alan•Budikusuma Wiratama,Alan•Budikusuma,"29 March 1968 in Surabaya, Jawa Timur (INA)",,Indonesia,255,178 cm / 71 kg,"PB Djarum, Kudus (INA)",,,"Renfang Wei, 仁芳魏",,,
Competed in Olympic Games,Male,Denny Kwan•Kantono,Denny•Kantono,"12 January 1970 in Samarinda, Kalimantan Timur (INA)",,Indonesia,256,182 cm,"PB Djarum, Kudus (INA)",,,,,,
Competed in Olympic Games,Male,Flandy•Limpele,Flandy•Limpele,"9 February 1974 in Manado, Sulawesi Utara (INA)",,Indonesia,257,181 cm / 73 kg,"PB Djarum, Kudus (INA) / SGS Bandung, Bandung (INA)",,,,,,
